epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0502,2.48823,3.11477,2.42937,0.00334,0.9375,0.41637,0.19293,1.60872,3.01938,1.54395,0.000512923,0.000512923,0.000512923
2,77.6356,1.65765,2.34543,1.68136,0.00331,1,0.49925,0.26284,1.46303,2.72436,1.58485,0.000857009,0.000857009,0.000857009
3,110.986,1.44663,2.13173,1.44647,0.01562,1,0.54704,0.20425,1.69304,2.70059,1.72301,0.000981051,0.000981051,0.000981051
4,146.49,1.36774,1.99258,1.39542,0.78431,0.45341,0.6222,0.25353,1.63962,2.47012,1.82764,0.000676802,0.000676802,0.000676802
5,180.275,1.21062,1.78703,1.24246,0.87737,0.46875,0.6624,0.35256,1.3369,2.16465,1.52111,0.000346736,0.000346736,0.000346736
